signal,version,headline,theorem,n_events,spread_ew_q,t_ew,sharpe_ew,spread_vw_q,t_vw,ic,ic_ir,mono,expected
dbreadth,raw,True,False,49,0.0021830853709976705,0.3202078108487044,0.062242441596548854,-0.02309058267105667,-1.0562215211974795,-0.0025868718226598497,-0.02461383072905723,0.5306122448979592,CHS 2002: +6.38%/12m decile spread (~1.6%/q); replicated here at +1.65%/q
d_days_adv,resid,True,True,49,0.0015803873084140284,0.2832320956616456,0.05986992301782969,-0.012315175578206413,-0.5931903594622515,-0.0006894920648837816,-0.010102871070692528,0.5102040816326531,no direct published number; crowding freshness (E3 logic: capacity measures rot fast) implies short-horizon info
days_adv,resid,True,True,49,-0.00660545999578976,-0.4057216417633768,-0.11654710289439962,0.07302940873652568,1.6295102748267412,0.011593929867810063,0.09409356858733045,0.5,BHL/Chincarini: raw VW FF3 alpha spread +1.44%/mo (t=9.67); Amihud-adjusted +0.89 - we replicated the point (+1.46) already
pso,raw,True,False,49,-0.006760420780927845,-0.7404661601156995,-0.19228595227982728,0.09404099374015773,1.9495594705697885,0.013096475205154586,0.19745749246755945,0.5153061224489796,Chincarini et al.: PSO carries no alpha (declared null)
dio,raw,True,False,49,-0.004090117320782028,-0.7587100650927677,-0.2211357640519095,0.05500209488793298,1.5308183904918378,-0.007838678708338171,-0.17405810884237471,0.4489795918367347,Chincarini et al.: no significant alpha (declared null)
herf_holders,resid,True,True,49,-0.004769020819502483,-1.0874859568827082,-0.2885601202698287,0.06104729156482648,1.8083179989017666,-0.012145614612293338,-0.2706357777134888,0.4744897959183674,Greenwood-Thesmar fragility direction: concentrated ownership -> fire-sale tail; sign ambiguous unconditionally
dio_2q,raw,True,False,49,-0.008348708368690913,-1.8867581161828557,-0.4637686513717833,-0.05025323789032663,-1.6217990350004523,-0.008929750168359823,-0.20103603156076502,0.47959183673469385,"Sias (2004): institutional demand is persistent and predicts returns; 2-quarter cumulated demand, positive"
dbreadth,resid,False,False,49,0.008964090652025039,1.8736722869278146,0.34141327374484404,-0.009653140770821883,-0.3044538615038369,0.0050473068578891014,0.05769697254374775,0.5357142857142857,CHS 2002: +6.38%/12m decile spread (~1.6%/q); replicated here at +1.65%/q
net_entry,resid,False,False,49,0.007606045984636462,1.6622633069570432,0.3176929841662003,-0.011414819266779948,-0.27359130838872614,0.003850166693984032,0.052822147369444385,0.5357142857142857,"entry minus exit; CHS direction, positive"
late_minus_early_dio,resid,False,False,49,0.009274643220576017,1.6231303555660361,0.471585172345411,-0.050094153055116004,-1.2472885855403526,0.002269856889363849,0.04403962154815934,0.5561224489795918,Christoffersen-Danesh-Musto: strategic LATE filers hide information; their demand minus early filers' demand should carry the informative component. Original construction.
dbreadth_common,resid,False,False,49,0.007430549384180961,1.6159954290165257,0.4157930739497833,0.006766132310358966,0.26597986620330777,0.008197835158066935,0.14032443663427688,0.5255102040816326,CHS variant; competitor's lesson: delta over common filers only removes universe-churn noise
ti,resid,False,False,49,0.005062251692540554,0.9583326682837366,0.22141759333494532,-0.039571483060157786,-1.0285808182767149,0.0002135521735249755,0.0036552504071668654,0.5306122448979592,paper's contrarian edge lives INSIDE the disclosure window (our replica): honest-timing expectation ~0 or follow(+)
entry_rate,resid,False,False,49,0.004615174201203873,0.4562690627624719,0.13868201523467577,-0.07993037852990773,-1.9116867715320376,-0.004799765974723763,-0.056542615940232126,0.5255102040816326,CHS mechanism: new holders = optimists arriving; positive
vi,resid,False,False,49,0.0018063776305241393,0.3622225967152638,0.09628962252981692,-0.02150379964610192,-0.5749365747192833,-0.005390177559491301,-0.12613207549065017,0.5102040816326531,same as ti; volume version (composition-flow sensitive)
herf_holders,raw,False,True,49,-0.0007436765113098066,-0.06270021894394512,-0.017259785389995393,-0.14589549536920884,-2.715430387722466,-0.030238959607894685,-0.33493794991806536,0.47959183673469385,Greenwood-Thesmar fragility direction: concentrated ownership -> fire-sale tail; sign ambiguous unconditionally
exit_rate,resid,False,False,49,-0.0011948413885615567,-0.10093769550265948,-0.028269198177945307,-0.029523982515089017,-0.6979945289405416,-0.009020898719838485,-0.07481107195367086,0.5153061224489796,complete exits are the strongest negative statement a long-only book can make (the only 'short' it has); NEGATIVE
dio,resid,False,False,49,-0.001496127163474249,-0.508378893774468,-0.09179792438381686,0.020393463978575728,0.6353792539932454,-0.004059316885017688,-0.09749327061137193,0.5102040816326531,Chincarini et al.: no significant alpha (declared null)
d_days_adv,raw,False,True,49,-0.0032062878115268235,-0.6586107673716474,-0.12871614448215937,-0.011238818568537057,-0.30406210503201864,-0.00017661769499376727,-0.0024840809312858905,0.4846938775510204,no direct published number; crowding freshness (E3 logic: capacity measures rot fast) implies short-horizon info
days_adv,raw,False,True,49,-0.01277003285692725,-0.8035688402670776,-0.23088745906208302,0.08132118166454538,2.069597545697815,0.00030285976755973826,0.0024507661346193682,0.47959183673469385,BHL/Chincarini: raw VW FF3 alpha spread +1.44%/mo (t=9.67); Amihud-adjusted +0.89 - we replicated the point (+1.46) already
new_conviction,raw,False,True,49,-0.009072941777301788,-0.8826894383612518,-0.2430675791046922,0.12450325401350486,1.9606615609234905,0.014279867233385554,0.13223244262764283,0.47959183673469385,ACP + flow: conviction expressed by NEW/raised positions; fresher subset of best ideas
breadth_level,raw,False,True,49,-0.015441709076641472,-1.0266987167031918,-0.2879152634213585,0.13716816573561635,2.066707441824336,0.02025672824923241,0.16345672776154735,0.49489795918367346,CHS: LEVELS are weak; expected ~null after size
conviction_top,raw,False,True,49,-0.01743318998592339,-1.2513733454133886,-0.34823464886605404,0.15630214955237623,2.3250379910420036,0.01661855359813616,0.13269551939081942,0.4846938775510204,"ACP best ideas: +2.8-4.5%/yr, 6-factor alpha 25-36 bps/mo"
pso,resid,False,False,49,-0.009957073773097883,-1.5714580216101146,-0.30819575666887034,-0.027849262716088213,-1.6665916528761295,-0.0005816804637467952,-0.009154713672848716,0.45408163265306123,Chincarini et al.: PSO carries no alpha (declared null)
dio_2q,resid,False,False,49,-0.0070555783365320686,-2.0584788459368526,-0.3894454536015315,-0.02265551871236144,-0.9569860933613185,-0.005075879176948577,-0.11653824783875592,0.4642857142857143,"Sias (2004): institutional demand is persistent and predicts returns; 2-quarter cumulated demand, positive"
