instrument_id,ticker,name,asset_class,etf_style,specialized_score,is_etf,verification_source
464287457,SHY,iShares 1-3 Year Treasury Bond ETF,fixed_income,broad,0,true,https://www.ishares.com/us/products/239452/ishares-13-year-treasury-bond-etf
464287176,TIP,iShares TIPS Bond ETF,fixed_income,broad,0,true,https://www.ishares.com/us/products/239467/ishares-tips-bond-etf
464288513,HYG,iShares iBoxx High Yield Corporate Bond ETF,fixed_income,broad,0,true,https://www.ishares.com/us/products/239565/ishares-iboxx-high-yield-corporate-bond-etf
464288414,MUB,iShares National Muni Bond ETF,fixed_income,broad,0,true,https://www.ishares.com/us/products/239766/ishares-national-amtfree-muni-bond-etf
78463V107,GLD,SPDR Gold Shares,commodity,commodity,1,true,https://www.ssga.com/us/en/intermediary/etfs/spdr-gold-shares-gld
46432F842,IEFA,iShares Core MSCI EAFE ETF,equity,broad,0,true,https://www.ishares.com/us/products/244049/ishares-core-msci-eafe-etf
46434G103,IEMG,iShares Core MSCI Emerging Markets ETF,equity,broad,0,true,https://www.ishares.com/us/products/244050/ishares-core-msci-emerging-markets-etf
78464A854,SPYM,State Street SPDR Portfolio S&P 500 ETF,equity,broad,0,true,https://www.ssga.com/us/en/intermediary/etfs/state-street-spdr-portfolio-sp-500-etf-spym
464287614,IWF,iShares Russell 1000 Growth ETF,equity,broad,0,true,https://www.ishares.com/us/products/239706/ishares-russell-1000-growth-etf
464287598,IWD,iShares Russell 1000 Value ETF,equity,broad,0,true,https://www.ishares.com/us/products/239708/ishares-russell-1000-value-etf
464287622,IWB,iShares Russell 1000 ETF,equity,broad,0,true,https://www.ishares.com/us/products/239707/ishares-russell-1000-etf
921937835,BND,Vanguard Total Bond Market ETF,fixed_income,broad,0,true,https://investor.vanguard.com/investment-products/etfs/profile/bnd
921909768,VXUS,Vanguard Total International Stock ETF,equity,broad,0,true,https://investor.vanguard.com/investment-products/etfs/profile/vxus
922908751,VB,Vanguard Small-Cap ETF,equity,broad,0,true,https://investor.vanguard.com/investment-products/etfs/profile/vb
46432F834,IXUS,iShares Core MSCI Total International Stock ETF,equity,broad,0,true,https://www.ishares.com/us/products/244048/ishares-core-msci-total-international-stock-etf
46432F339,QUAL,iShares MSCI USA Quality Factor ETF,equity,factor,0.5,true,https://www.ishares.com/us/products/256101/ishares-msci-usa-quality-factor-etf
464285204,EWJ,iShares MSCI Japan ETF,equity,country,1,true,https://www.ishares.com/us/products/239665/ishares-msci-japan-etf
808524201,SCHX,Schwab U.S. Large-Cap ETF,equity,broad,0,true,https://www.schwabassetmanagement.com/products/schx
808524805,SCHF,Schwab International Equity ETF,equity,broad,0,true,https://www.schwabassetmanagement.com/products/schf
78464A409,SPYG,SPDR Portfolio S&P 500 Growth ETF,equity,broad,0,true,https://www.ssga.com/us/en/intermediary/etfs/spdr-portfolio-sp-500-growth-etf-spyg
78464A508,SPYV,SPDR Portfolio S&P 500 Value ETF,equity,broad,0,true,https://www.ssga.com/us/en/intermediary/etfs/spdr-portfolio-sp-500-value-etf-spyv
